timestamp,market,symbol,name,currency,price
1700000000,US,AAPL,Apple (synthetic demo),USD,220.00000000
1700000000,US,SPY,S&P ETF (synthetic demo),USD,560.00000000
1700000000,KSA,2222,Saudi Aramco (synthetic demo),SAR,27.00000000
1700000000,KSA,1120,Al Rajhi (synthetic demo),SAR,95.00000000
1700000000,CRYPTO,BTCUSDT,Bitcoin / USDT (synthetic demo),USDT,65000.00000000
1700000000,CRYPTO,ETHBTC,Ether / BTC (synthetic demo),BTC,0.04000000
1700000001,US,AAPL,Apple (synthetic demo),USD,220.28857371
1700000001,US,SPY,S&P ETF (synthetic demo),USD,560.73455125
1700000001,KSA,2222,Saudi Aramco (synthetic demo),SAR,27.03541586
1700000001,KSA,1120,Al Rajhi (synthetic demo),SAR,95.12461137
1700000001,CRYPTO,BTCUSDT,Bitcoin / USDT (synthetic demo),USDT,65085.26041301
1700000001,CRYPTO,ETHBTC,Ether / BTC (synthetic demo),BTC,0.04005247
1700000002,US,AAPL,Apple (synthetic demo),USD,220.57374563
1700000002,US,SPY,S&P ETF (synthetic demo),USD,561.46044342
1700000002,KSA,2222,Saudi Aramco (synthetic demo),SAR,27.07041424
1700000002,KSA,1120,Al Rajhi (synthetic demo),SAR,95.24775379
1700000002,CRYPTO,BTCUSDT,Bitcoin / USDT (synthetic demo),USDT,65169.51575356
1700000002,CRYPTO,ETHBTC,Ether / BTC (synthetic demo),BTC,0.04010432
1700000003,US,AAPL,Apple (synthetic demo),USD,220.85217932
1700000003,US,SPY,S&P ETF (synthetic demo),USD,562.16918374
1700000003,KSA,2222,Saudi Aramco (synthetic demo),SAR,27.10458564
1700000003,KSA,1120,Al Rajhi (synthetic demo),SAR,95.36798653
1700000003,CRYPTO,BTCUSDT,Bitcoin / USDT (synthetic demo),USDT,65251.78025498
1700000003,CRYPTO,ETHBTC,Ether / BTC (synthetic demo),BTC,0.04015494
1700000004,US,AAPL,Apple (synthetic demo),USD,221.12066772
1700000004,US,SPY,S&P ETF (synthetic demo),USD,562.85260873
1700000004,KSA,2222,Saudi Aramco (synthetic demo),SAR,27.13753649
1700000004,KSA,1120,Al Rajhi (synthetic demo),SAR,95.48392470
1700000004,CRYPTO,BTCUSDT,Bitcoin / USDT (synthetic demo),USDT,65331.10637079
